student_id,date,difficulty_level,study_hours,break_count,avg_break_duration,sleep_hours,screen_time,revision_done,mood_score,performance_score,burnout_risk
1,2025-11-17,4,4.25,3,17.9,6.86,11.85,1,2,49,0
1,2025-11-18,4,2.8,2,14.8,4.39,3.62,0,1,16,0
1,2025-11-19,4,3.68,4,9.3,3.85,3.95,0,4,25,0
1,2025-11-20,4,3.49,2,5.0,7.82,1.0,0,5,35,0
1,2025-11-21,1,1.28,2,5.2,6.28,2.43,1,1,44,0
1,2025-11-22,3,4.83,5,8.5,6.16,3.73,0,3,34,0
1,2025-11-23,2,0.5,2,9.8,8.07,6.35,0,5,34,0
1,2025-11-24,2,3.33,5,12.9,8.79,6.43,1,1,57,0
1,2025-11-25,1,3.34,3,8.4,6.04,2.71,0,1,29,0
1,2025-11-26,1,8.53,8,7.9,4.58,6.83,0,4,52,1
1,2025-11-27,1,3.47,1,9.7,5.33,8.73,0,2,17,0
1,2025-11-28,3,5.72,3,10.8,6.24,6.1,1,1,47,0
1,2025-11-29,4,3.54,4,10.0,5.8,3.45,1,2,49,0
1,2025-11-30,1,4.89,5,5.0,7.21,4.02,0,4,47,0
1,2025-12-01,4,5.0,5,13.1,7.15,7.81,0,1,33,0
1,2025-12-02,3,1.67,1,13.3,5.81,3.31,1,1,33,0
1,2025-12-03,1,4.45,6,9.3,10.0,5.31,0,1,45,0
1,2025-12-04,5,2.21,3,9.3,7.04,4.91,1,1,39,0
1,2025-12-05,2,6.68,4,11.1,1.13,2.13,1,2,49,1
1,2025-12-06,4,1.79,3,15.3,7.87,1.67,0,1,20,0
1,2025-12-07,5,8.19,7,7.6,3.12,4.12,1,2,52,1
1,2025-12-08,3,5.13,7,10.6,8.56,3.41,1,4,69,0
1,2025-12-09,2,1.54,1,12.5,5.01,5.3,1,2,39,0
1,2025-12-10,5,3.19,5,12.9,7.18,1.72,0,5,34,0
1,2025-12-11,5,3.14,4,5.0,8.87,2.05,1,4,64,0
1,2025-12-12,1,1.35,5,14.5,7.4,4.91,0,3,35,0
1,2025-12-13,2,4.17,4,7.6,8.14,4.31,1,2,57,0
1,2025-12-14,1,0.93,2,9.1,2.25,4.83,1,4,35,0
1,2025-12-15,1,5.42,7,15.7,6.41,5.29,0,4,42,0
1,2025-12-16,5,4.92,4,9.3,7.32,5.69,1,1,61,0
2,2025-11-17,2,6.22,4,11.2,5.65,11.11,0,5,40,0
2,2025-11-18,2,1.39,1,16.8,3.33,2.91,0,2,6,0
2,2025-11-19,1,4.78,4,9.5,7.77,4.6,0,2,41,0
2,2025-11-20,4,8.66,6,12.5,5.48,8.4,0,5,53,1
2,2025-11-21,1,2.24,1,5.0,6.4,2.84,0,5,40,0
2,2025-11-22,2,4.96,3,19.2,5.68,3.54,1,1,45,0
2,2025-11-23,4,5.56,3,5.0,6.32,2.65,1,5,64,0
2,2025-11-24,2,3.57,3,5.0,6.69,4.5,0,2,30,0
2,2025-11-25,5,0.5,1,15.1,6.73,4.25,1,2,38,0
2,2025-11-26,3,3.57,1,20.3,3.18,3.27,1,5,57,0
2,2025-11-27,1,0.94,2,11.9,6.94,1.94,0,3,30,0
2,2025-11-28,2,2.09,4,8.5,7.75,1.95,0,5,41,0
2,2025-11-29,3,3.58,2,5.0,6.51,9.41,1,5,60,0
2,2025-11-30,3,2.34,3,10.3,7.8,8.26,1,3,50,0
2,2025-12-01,2,2.04,1,11.3,7.08,2.06,0,1,25,0
2,2025-12-02,5,4.87,3,17.4,2.61,6.22,0,2,31,0
2,2025-12-03,1,1.38,1,6.7,7.6,3.27,0,3,35,0
2,2025-12-04,4,9.93,9,9.6,7.22,5.4,0,1,45,1
2,2025-12-05,2,3.82,5,9.0,8.71,4.72,0,5,52,0
2,2025-12-06,3,2.63,2,13.9,8.11,4.25,1,4,57,0
2,2025-12-07,4,3.32,3,12.7,7.11,5.55,0,2,35,0
2,2025-12-08,3,2.89,1,5.0,6.32,3.64,0,3,34,0
2,2025-12-09,1,1.28,3,12.4,8.14,6.37,0,5,35,0
2,2025-12-10,4,4.08,6,19.2,6.95,5.93,1,2,49,0
2,2025-12-11,3,3.54,3,5.0,6.86,6.24,0,5,44,0
