student_id,date,difficulty_level,study_hours,break_count,avg_break_duration,sleep_hours,screen_time,revision_done,mood_score,performance_score,burnout_risk,focus_score,fatigue_index,consistency_score,revision_intensity,cognitive_load,productivity_index
1,2025-11-17,4,4.25,3,17.9,6.86,11.85,1,2,49,0,1.0625,0.6195335276967929,4.25,1.0,17.0,1.7539449708454808
1,2025-11-18,4,2.8,2,14.8,4.39,3.62,0,1,16,0,0.9333333333333332,0.6378132118451025,3.525,1.0,11.2,1.4884946848899012
1,2025-11-19,4,3.68,4,9.3,3.85,3.95,0,4,25,0,0.736,0.9558441558441558,3.5766666666666667,1.0,14.72,1.3872233766233766
1,2025-11-20,4,3.49,2,5.0,7.82,1.0,0,5,35,0,1.1633333333333333,0.4462915601023018,3.555,1.0,13.96,1.6067229326513213
1,2025-11-21,1,1.28,2,5.2,6.28,2.43,1,1,44,0,0.4266666666666667,0.2038216560509554,3.1,2.0,1.28,1.44876008492569
1,2025-11-22,3,4.83,5,8.5,6.16,3.73,0,3,34,0,0.805,0.7840909090909091,3.388333333333333,2.0,14.49,1.5806363636363634
1,2025-11-23,2,0.5,2,9.8,8.07,6.35,0,5,34,0,0.16666666666666666,0.06195786864931846,2.9757142857142855,2.0,1.0,1.3417539387502213
1,2025-11-24,2,3.33,5,12.9,8.79,6.43,1,1,57,0,0.555,0.37883959044368604,2.8442857142857143,2.0,6.66,1.3907097757191615
1,2025-11-25,1,3.34,3,8.4,6.04,2.71,0,1,29,0,0.835,0.5529801324503311,2.9214285714285713,2.0,3.34,1.4857315515610217
1,2025-11-26,1,8.53,8,7.9,4.58,6.83,0,4,52,1,0.9477777777777777,1.8624454148471614,3.614285714285714,2.0,8.53,1.5366411242808622
1,2025-11-27,1,3.47,1,9.7,5.33,8.73,0,2,17,0,1.735,0.651031894934334,3.6114285714285717,2.0,3.47,1.993023787188421
1,2025-11-28,3,5.72,3,10.8,6.24,6.1,1,1,47,0,1.43,0.9166666666666666,4.2457142857142856,2.0,17.16,2.0367142857142855
1,2025-11-29,4,3.54,4,10.0,5.8,3.45,1,2,49,0,0.708,0.6103448275862069,4.061428571428571,3.0,14.16,1.9746768472906406
1,2025-11-30,1,4.89,5,5.0,7.21,4.02,0,4,47,0,0.815,0.6782246879334257,4.688571428571429,3.0,4.89,2.1900877253814146
1,2025-12-01,4,5.0,5,13.1,7.15,7.81,0,1,33,0,0.8333333333333334,0.6993006993006993,4.927142857142856,2.0,20.0,2.0649144189144186
1,2025-12-02,3,1.67,1,13.3,5.81,3.31,1,1,33,0,0.835,0.2874354561101549,4.688571428571429,3.0,5.01,2.255706110154905
1,2025-12-03,1,4.45,6,9.3,10.0,5.31,0,1,45,0,0.6357142857142858,0.445,4.105714285714286,3.0,4.45,1.987464285714286
1,2025-12-04,5,2.21,3,9.3,7.04,4.91,1,1,39,0,0.5525,0.31392045454545453,3.9257142857142853,4.0,11.05,2.1240012175324674
1,2025-12-05,2,6.68,4,11.1,1.13,2.13,1,2,49,1,1.3359999999999999,5.911504424778761,4.062857142857142,4.0,13.36,1.5997314791403285
1,2025-12-06,4,1.79,3,15.3,7.87,1.67,0,1,20,0,0.4475,0.22744599745870395,3.812857142857143,3.0,7.16,1.8663652432383375
1,2025-12-07,5,8.19,7,7.6,3.12,4.12,1,2,52,1,1.02375,2.6249999999999996,4.284285714285714,4.0,40.949999999999996,2.0498482142857144
1,2025-12-08,3,5.13,7,10.6,8.56,3.41,1,4,69,0,0.64125,0.5992990654205607,4.3028571428571425,5.0,15.39,2.4253997830440586
1,2025-12-09,2,1.54,1,12.5,5.01,5.3,1,2,39,0,0.77,0.3073852295409182,4.284285714285714,5.0,3.08,2.508677929854576
1,2025-12-10,5,3.19,5,12.9,7.18,1.72,0,5,34,0,0.5316666666666666,0.44428969359331477,4.104285714285714,5.0,15.95,2.35072559358005
1,2025-12-11,5,3.14,4,5.0,8.87,2.05,1,4,64,0,0.628,0.3540022547914318,4.237142857142857,5.0,15.700000000000001,2.4378425189241417
1,2025-12-12,1,1.35,5,14.5,7.4,4.91,0,3,35,0,0.225,0.18243243243243243,3.4757142857142855,4.0,1.35,1.894099420849421
1,2025-12-13,2,4.17,4,7.6,8.14,4.31,1,2,57,0,0.834,0.5122850122850122,3.8157142857142854,5.0,8.34,2.359771533871534
1,2025-12-14,1,0.93,2,9.1,2.25,4.83,1,4,35,0,0.31,0.41333333333333333,2.7785714285714285,5.0,0.93,1.8800714285714284
1,2025-12-15,1,5.42,7,15.7,6.41,5.29,0,4,42,0,0.6775,0.8455538221528861,2.8200000000000003,4.0,5.42,1.7562919266770671
1,2025-12-16,5,4.92,4,9.3,7.32,5.69,1,1,61,0,0.984,0.6721311475409836,3.302857142857143,4.0,24.6,2.0344374707259956
2,2025-11-17,2,6.22,4,11.2,5.65,11.11,0,5,40,0,1.244,1.1008849557522122,6.22,0.0,12.44,2.1362672566371677
2,2025-11-18,2,1.39,1,16.8,3.33,2.91,0,2,6,0,0.695,0.4174174174174174,3.8049999999999997,0.0,2.78,1.3221373873873874
2,2025-11-19,1,4.78,4,9.5,7.77,4.6,0,2,41,0,0.9560000000000001,0.6151866151866152,4.13,0.0,4.78,1.4813220077220075
2,2025-11-20,4,8.66,6,12.5,5.48,8.4,0,5,53,1,1.237142857142857,1.5802919708029197,5.2625,0.0,34.64,1.7747062043795623
2,2025-11-21,1,2.24,1,5.0,6.4,2.84,0,5,40,0,1.12,0.35000000000000003,4.6579999999999995,0.0,2.24,1.7368999999999997
2,2025-11-22,2,4.96,3,19.2,5.68,3.54,1,1,45,0,1.24,0.8732394366197184,4.708333333333333,1.0,9.92,1.9155140845070422
2,2025-11-23,4,5.56,3,5.0,6.32,2.65,1,5,64,0,1.39,0.8797468354430379,4.83,2.0,22.24,2.2035379746835444
2,2025-11-24,2,3.57,3,5.0,6.69,4.5,0,2,30,0,0.8925,0.5336322869955157,4.451428571428571,2.0,7.14,1.967758728379244
2,2025-11-25,5,0.5,1,15.1,6.73,4.25,1,2,38,0,0.25,0.07429420505200594,4.324285714285714,3.0,2.5,1.9736415835279133
2,2025-11-26,3,3.57,1,20.3,3.18,3.27,1,5,57,0,1.785,1.1226415094339621,4.151428571428571,4.0,10.709999999999999,2.501782345013477
2,2025-11-27,1,0.94,2,11.9,6.94,1.94,0,3,30,0,0.3133333333333333,0.13544668587896252,3.0485714285714285,4.0,0.94,1.8039210923562508
2,2025-11-28,2,2.09,4,8.5,7.75,1.95,0,5,41,0,0.418,0.2696774193548387,3.027142857142857,4.0,4.18,1.8139912442396313
2,2025-11-29,3,3.58,2,5.0,6.51,9.41,1,5,60,0,1.1933333333333334,0.5499231950844854,2.8299999999999996,4.0,10.74,1.9841781874039937
2,2025-11-30,3,2.34,3,10.3,7.8,8.26,1,3,50,0,0.585,0.3,2.37,4.0,7.02,1.67075
2,2025-12-01,2,2.04,1,11.3,7.08,2.06,0,1,25,0,1.02,0.288135593220339,2.1514285714285712,4.0,4.08,1.7592082324455205
2,2025-12-02,5,4.87,3,17.4,2.61,6.22,0,2,31,0,1.2175,1.8659003831417627,2.775714285714286,3.0,24.35,1.5789542282430213
2,2025-12-03,1,1.38,1,6.7,7.6,3.27,0,3,35,0,0.69,0.18157894736842103,2.4628571428571426,2.0,1.38,1.3531203007518795
2,2025-12-04,4,9.93,9,9.6,7.22,5.4,0,1,45,1,0.993,1.3753462603878117,3.7471428571428573,2.0,39.72,1.6653909180846853
2,2025-12-05,2,3.82,5,9.0,8.71,4.72,0,5,52,0,0.6366666666666666,0.43857634902411013,3.994285714285714,2.0,7.64,1.7553325952654308
2,2025-12-06,3,2.63,2,13.9,8.11,4.25,1,4,57,0,0.8766666666666666,0.3242909987669544,3.858571428571428,2.0,7.89,1.8157611120897188
2,2025-12-07,4,3.32,3,12.7,7.11,5.55,0,2,35,0,0.83,0.46694796061884664,3.998571428571428,1.0,13.28,1.6200292344786014
2,2025-12-08,3,2.89,1,5.0,6.32,3.64,0,3,34,0,1.445,0.4572784810126582,4.12,1.0,8.67,1.8731582278481014
2,2025-12-09,1,1.28,3,12.4,8.14,6.37,0,5,35,0,0.32,0.15724815724815724,3.607142857142857,1.0,1.28,1.3705556335556333
2,2025-12-10,4,4.08,6,19.2,6.95,5.93,1,2,49,0,0.5828571428571429,0.5870503597122302,3.992857142857143,2.0,16.32,1.7137995889003081
2,2025-12-11,3,3.54,3,5.0,6.86,6.24,0,5,44,0,0.885,0.5160349854227405,3.0799999999999996,2.0,10.620000000000001,1.5563447521865885
2,2025-12-12,1,2.1,1,13.4,8.2,4.28,0,5,41,0,1.05,0.25609756097560976,2.834285714285714,2.0,2.1,1.5793710801393728
2,2025-12-13,4,2.9,2,7.1,6.57,3.8,1,2,41,0,0.9666666666666667,0.441400304414003,2.8728571428571428,2.0,11.6,1.5339804305283755
2,2025-12-14,1,1.02,1,13.1,6.77,3.33,0,5,34,0,0.51,0.15066469719350076,2.544285714285714,2.0,1.02,1.3191860097066892
2,2025-12-15,4,3.15,4,12.2,7.7,4.02,0,4,29,0,0.63,0.40909090909090906,2.5814285714285714,2.0,12.6,1.333564935064935
2,2025-12-16,3,3.72,3,5.0,6.13,7.38,0,3,29,0,0.93,0.6068515497553019,2.9299999999999997,2.0,11.16,1.5134722675367045
